,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Category,Gender,Age,PositiveTransfer,FaceStimMatrix,oldYMcounter,oldYFcounter,oldOMcounter,oldOFcounter,newYMcounter,newYFcounter,newOMcounter,newOFcounter,keyPressed,Mem,Hit,FA,CR,Miss,RT,subject
147,148,MemResp,4,148,67,147,1,YF,2,1,1,2,28,28,28,27,10,9,9,9,l,2,0,0,0,1,750,45
148,149,MemResp,4,149,68,148,1,YF,2,1,0,10,28,28,28,27,10,10,9,9,l,1,0,0,1,0,722,45
149,150,MemResp,4,150,69,149,1,OF,2,2,0,4,28,28,28,28,10,10,9,9,l,2,0,0,0,1,685,45
150,151,MemResp,4,151,70,150,1,OM,1,2,0,11,28,28,28,28,10,10,10,9,k,1,0,0,1,0,668,45
151,152,MemResp,4,152,71,151,1,YF,2,1,1,2,28,29,28,28,10,10,10,9,k,2,0,0,0,1,813,45
152,153,MemResp,4,153,72,152,1,OM,1,2,1,3,28,29,29,28,10,10,10,9,s,2,1,0,0,0,1153,45
153,154,MemResp,4,154,73,153,1,OM,1,2,1,3,28,29,30,28,10,10,10,9,l,2,0,0,0,1,1026,45
154,155,MemResp,4,155,74,154,1,OF,2,2,0,4,28,29,30,29,10,10,10,9,s,2,1,0,0,0,692,45
155,156,MemResp,4,156,75,155,1,YM,1,1,0,1,29,29,30,29,10,10,10,9,k,2,0,0,0,1,1302,45
156,157,MemResp,4,157,76,156,1,YF,2,1,1,2,29,30,30,29,10,10,10,9,k,2,0,0,0,1,786,45
157,158,MemResp,4,158,77,157,1,YM,1,1,0,1,30,30,30,29,10,10,10,9,l,2,0,0,0,1,775,45
158,159,MemResp,4,159,78,158,1,OF,2,2,0,12,30,30,30,29,10,10,10,10,s,1,0,1,0,0,857,45
159,160,MemResp,4,160,79,159,1,OF,2,2,0,4,30,30,30,30,10,10,10,10,l,2,0,0,0,1,"701
Filler",45
0,1,MemRespITI,3,1,0,0,0,OM,1,2,1,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,,46
1,2,MemResp,3,2,1,1,0,OF,2,2,0,4,0,0,1,1,0,0,0,0,k,2,0,0,0,1,882,46
2,3,MemResp,3,3,2,2,0,OM,1,2,1,3,0,0,2,1,0,0,0,0,s,2,1,0,0,0,207,46
3,4,MemResp,3,4,3,3,0,YF,2,1,0,10,0,0,2,1,0,1,0,0,a,1,0,1,0,0,652,46
4,5,MemResp,3,5,4,4,0,YF,2,1,0,10,0,0,2,1,0,2,0,0,a,1,0,1,0,0,657,46
5,6,MemResp,3,6,5,5,0,OF,2,2,0,4,0,0,2,2,0,2,0,0,a,2,1,0,0,0,654,46
6,7,MemResp,3,7,6,6,0,OM,1,2,0,11,0,0,2,2,0,2,1,0,a,1,0,1,0,0,1019,46
7,8,MemResp,3,8,7,7,0,YF,2,1,1,2,0,1,2,2,0,2,1,0,a,2,1,0,0,0,944,46
8,9,MemResp,3,9,8,8,0,OF,2,2,0,4,0,1,2,3,0,2,1,0,a,2,1,0,0,0,949,46
9,10,MemResp,3,10,9,9,0,OM,1,2,1,3,0,1,3,3,0,2,1,0,a,2,1,0,0,0,698,46
10,11,MemResp,3,11,10,10,0,YM,1,1,0,1,1,1,3,3,0,2,1,0,s,2,1,0,0,0,990,46
11,12,MemResp,3,12,11,11,0,YF,2,1,1,2,1,2,3,3,0,2,1,0,a,2,1,0,0,0,579,46
12,13,MemResp,3,13,12,12,0,YF,2,1,1,2,1,3,3,3,0,2,1,0,a,2,1,0,0,0,592,46
13,14,MemResp,3,14,13,13,0,YF,2,1,1,2,1,4,3,3,0,2,1,0,a,2,1,0,0,0,581,46
14,15,MemResp,3,15,14,14,0,YM,1,1,0,1,2,4,3,3,0,2,1,0,a,2,1,0,0,0,730,46
