,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Category,ObjectStimMatrix,StimSequence,NewStimMatrix,oldLLcounter,oldLScounter,oldNLcounter,oldNScounter,newLScounter,newLLcounter,newNScounter,newNLcounter,keyPressed,PressCorrect,Accuracy,RT,ResponseMatrix,subject
5,178,SourceMemColorResp,1,6,5,5,0,NL,2,1,1,2,1,0,1,0,1,1,0,s,a,0,860,1,59
6,179,SourceMemColorResp,1,7,6,6,0,MS,2,14,1,2,1,0,2,0,1,1,0,s,a,0,820,1,59
7,180,SourceMemColorResp,1,8,7,7,0,NS,2,5,1,2,2,0,2,0,1,1,0,a,a,1,447,1,59
8,181,SourceMemColorResp,1,9,8,8,0,MS,2,13,1,2,2,0,3,0,1,1,0,s,a,0,347,2,59
9,182,SourceMemColorResp,1,10,9,9,0,MS,2,16,1,2,2,0,4,0,1,1,0,s,s,1,708,1,59
10,183,SourceMemColorResp,1,11,10,10,0,ML,2,10,1,2,2,1,4,0,1,1,0,s,a,0,589,1,59
11,184,SourceMemColorResp,1,12,11,11,0,NS,1,5,1,2,2,1,4,1,1,1,0,s,0,0,789,0,59
12,185,SourceMemColorResp,1,13,12,12,0,MS,1,5,3,2,2,1,4,1,1,2,0,s,0,0,621,0,59
13,186,SourceMemColorResp,1,14,13,13,0,NS,2,5,4,2,3,1,4,1,1,2,0,a,a,1,678,2,59
14,187,SourceMemColorResp,1,15,14,14,0,NS,2,8,4,2,4,1,4,1,1,2,0,s,s,1,1075,1,59
15,188,SourceMemColorResp,1,16,15,15,0,ML,2,9,4,2,4,2,4,1,1,2,0,s,a,0,1916,2,59
16,189,SourceMemColorResp,1,17,16,16,0,ML,2,12,4,2,4,3,4,1,1,2,0,s,s,1,278,1,59
17,190,SourceMemColorResp,1,18,17,17,0,ML,1,2,4,2,4,3,4,1,1,2,1,s,0,0,1376,0,59
18,191,SourceMemColorRespITI,1,19,18,18,0,NL,2,2,3,3,4,3,4,1,1,2,1,k,a,0,1376,1,59
19,192,SourceMemColorResp,1,20,19,19,0,MS,1,5,3,3,4,3,4,1,1,3,1,s,0,0,568,0,59
20,193,SourceMemColorResp,1,21,20,20,0,NS,2,5,4,3,5,3,4,1,1,3,1,a,a,1,639,1,59
21,194,SourceMemColorResp,1,22,21,21,0,ML,2,10,4,3,5,4,4,1,1,3,1,s,a,0,1753,1,59
22,195,SourceMemColorResp,1,23,22,22,0,MS,2,13,4,3,5,4,5,1,1,3,1,s,a,0,977,2,59
23,196,SourceMemColorResp,1,24,23,23,0,NS,2,7,4,3,6,4,5,1,1,3,1,s,s,1,620,2,59
24,197,SourceMemColorResp,1,25,24,24,0,MS,2,16,4,3,6,4,6,1,1,3,1,s,s,1,422,2,59
25,198,SourceMemColorResp,1,26,25,25,0,ML,2,11,4,3,6,5,6,1,1,3,1,s,s,1,1070,2,59
26,199,SourceMemColorResp,1,27,26,26,0,MS,2,15,4,3,6,5,7,1,1,3,1,s,s,1,687,1,59
27,200,SourceMemColorResp,1,28,27,27,0,NL,2,1,4,4,6,5,7,1,1,3,1,a,a,1,488,2,59
28,201,SourceMemColorResp,1,29,28,28,0,ML,2,11,4,4,6,6,7,1,1,3,1,s,s,1,660,2,59
29,202,SourceMemColorResp,1,30,29,29,0,ML,2,12,4,4,6,7,7,1,1,3,1,s,s,1,478,2,59
30,203,SourceMemColorResp,1,31,30,30,0,MS,2,16,4,4,6,7,8,1,1,3,1,s,s,1,776,2,59
31,204,SourceMemColorResp,1,32,31,31,0,ML,1,4,4,4,6,7,8,1,1,3,2,s,0,0,560,0,59
32,205,SourceMemColorResp,1,33,32,32,0,NL,2,4,1,5,6,7,8,1,1,3,2,s,s,1,329,1,59
33,206,SourceMemColorResp,1,34,33,33,0,ML,2,9,1,5,6,8,8,1,1,3,2,s,a,0,889,2,59
34,207,SourceMemColorResp,1,35,34,34,0,NS,1,3,1,5,6,8,8,2,1,3,2,s,0,0,961,0,59
35,208,SourceMemColorResp,1,36,35,35,0,NL,1,3,2,5,6,8,8,2,2,3,2,s,0,0,1979,0,59
36,209,SourceMemColorResp,1,37,36,36,0,NL,2,3,3,6,6,8,8,2,2,3,2,s,s,1,388,2,59
37,210,SourceMemColorResp,1,38,37,37,0,ML,2,12,3,6,6,9,8,2,2,3,2,s,s,1,405,1,59
38,211,SourceMemColorResp,1,39,38,38,0,MS,1,13,3,6,6,9,8,2,2,4,2,s,0,0,1741,0,59
39,212,SourceMemColorResp,1,40,39,39,0,MS,2,13,3,6,6,9,9,2,2,4,2,s,a,0,840,1,59
40,213,SourceMemColorResp,1,41,40,40,0,MS,1,13,3,6,6,9,9,2,2,5,2,s,0,0,687,0,59
41,214,SourceMemColorResp,1,42,41,41,0,MS,1,13,3,6,6,9,9,2,2,6,2,a,0,0,759,0,59
42,215,SourceMemColorResp,1,43,42,42,0,NL,1,13,2,6,6,9,9,2,3,6,2,s,0,0,1550,0,59
43,216,SourceMemColorResp,1,44,43,43,0,MS,2,13,4,6,6,9,10,2,3,6,2,s,a,0,1456,2,59
44,217,SourceMemColorResp,1,45,44,44,0,MS,2,15,4,6,6,9,11,2,3,6,2,s,s,1,1032,2,59
45,218,SourceMemColorResp,1,46,45,45,0,NS,2,7,4,6,7,9,11,2,3,6,2,a,s,0,866,2,59
46,219,SourceMemColorResp,1,47,46,46,0,MS,2,15,4,6,7,9,12,2,3,6,2,a,s,0,330,2,59
47,220,SourceMemColorResp,1,48,47,47,0,NL,2,3,4,7,7,9,12,2,3,6,2,s,s,1,643,1,59
48,221,SourceMemColorResp,1,49,48,48,0,NS,2,6,4,7,8,9,12,2,3,6,2,a,a,1,1589,1,59
49,222,SourceMemColorRespITI,1,50,49,49,0,NL,2,2,4,8,8,9,12,2,3,6,2,l,a,0,1589,1,59
50,223,SourceMemColorResp,1,51,50,50,0,ML,2,10,4,8,8,10,12,2,3,6,2,s,a,0,602,1,59
51,224,SourceMemColorResp,1,52,51,51,0,NL,2,1,4,9,8,10,12,2,3,6,2,s,a,0,836,2,59
52,225,SourceMemColorResp,1,53,52,52,0,NS,2,7,4,9,9,10,12,2,3,6,2,s,s,1,652,1,59
53,226,SourceMemColorResp,1,54,53,53,0,MS,2,14,4,9,9,10,13,2,3,6,2,a,a,1,838,2,59
54,227,SourceMemColorResp,1,55,54,54,0,NS,2,7,4,9,10,10,13,2,3,6,2,a,s,0,1648,2,59
55,228,SourceMemColorResp,1,56,55,55,0,ML,1,12,4,9,10,10,13,2,3,6,3,a,0,0,738,0,59
56,229,SourceMemColorResp,1,57,56,56,0,ML,1,12,4,9,10,10,13,2,3,6,4,s,0,0,732,0,59
57,230,SourceMemColorResp,1,58,57,57,0,ML,2,12,1,9,10,11,13,2,3,6,4,a,s,0,189,1,59
58,231,SourceMemColorResp,1,59,58,58,0,NS,1,2,1,9,10,11,13,3,3,6,4,s,0,0,1319,0,59
59,232,SourceMemColorResp,1,60,59,59,0,NS,1,2,1,9,10,11,13,4,3,6,4,a,0,0,561,0,59
