,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Category,Gender,Age,FaceStimMatrix,oldYMcounter,oldYFcounter,oldOMcounter,oldOFcounter,newYMcounter,newYFcounter,newOMcounter,newOFcounter,keyPressed,Mem,Hit,FA,CR,Miss,RT,subject
39,40,MemResp,4,40,39,39,0,YF,2,1,2,7,7,7,7,4,4,2,2,l,2,0,0,0,1,798,50
40,41,MemResp,4,41,40,40,0,YF,2,1,2,7,8,7,7,4,4,2,2,l,2,0,0,0,1,937,50
41,42,MemResp,4,42,41,41,0,OF,2,2,12,7,8,7,7,4,4,2,3,l,1,0,0,1,0,449,50
42,43,MemResp,4,43,42,42,0,OM,1,2,3,7,8,8,7,4,4,2,3,l,2,0,0,0,1,509,50
43,44,MemResp,4,44,43,43,0,OM,1,2,3,7,8,9,7,4,4,2,3,l,2,0,0,0,1,1237,50
44,45,MemResp,4,45,44,44,0,YF,2,1,2,7,9,9,7,4,4,2,3,l,2,0,0,0,1,1174,50
45,46,MemResp,4,46,45,45,0,YM,1,1,1,8,9,9,7,4,4,2,3,s,2,1,0,0,0,775,50
46,47,MemResp,4,47,46,46,0,YM,1,1,1,9,9,9,7,4,4,2,3,a,2,1,0,0,0,1172,50
47,48,MemResp,4,48,47,47,0,YM,1,1,1,10,9,9,7,4,4,2,3,a,2,1,0,0,0,795,50
48,49,MemResp,4,49,48,48,0,OF,2,2,4,10,9,9,8,4,4,2,3,s,2,1,0,0,0,1153,50
49,50,MemResp,4,50,49,49,0,YF,2,1,2,10,10,9,8,4,4,2,3,s,2,1,0,0,0,818,50
50,51,MemResp,4,51,50,50,0,YF,2,1,2,10,11,9,8,4,4,2,3,s,2,1,0,0,0,661,50
51,52,MemResp,4,52,51,51,0,OF,2,2,4,10,11,9,9,4,4,2,3,l,2,0,0,0,1,1119,50
52,53,MemResp,4,53,52,52,0,YM,1,1,1,11,11,9,9,4,4,2,3,l,2,0,0,0,1,1129,50
53,54,MemResp,4,54,53,53,0,YM,1,1,9,11,11,9,9,5,4,2,3,l,1,0,0,1,0,1238,50
54,55,MemResp,4,55,54,54,0,OM,1,2,11,11,11,9,9,5,4,3,3,l,1,0,0,1,0,773,50
55,56,MemResp,4,56,55,55,0,OF,2,2,4,11,11,9,10,5,4,3,3,s,2,1,0,0,0,769,50
56,57,MemResp,4,57,56,56,0,OM,1,2,3,11,11,10,10,5,4,3,3,s,2,1,0,0,0,1008,50
57,58,MemResp,4,58,57,57,0,OF,2,2,4,11,11,10,11,5,4,3,3,s,2,1,0,0,0,888,50
58,59,MemResp,4,59,58,58,0,OF,2,2,4,11,11,10,12,5,4,3,3,s,2,1,0,0,0,864,50
59,60,MemResp,4,60,59,59,0,YF,2,1,2,11,12,10,12,5,4,3,3,l,2,0,0,0,1,961,50
60,61,MemResp,4,61,60,60,0,YM,1,1,1,12,12,10,12,5,4,3,3,s,2,1,0,0,0,1042,50
61,62,MemResp,4,62,61,61,0,OF,2,2,4,12,12,10,13,5,4,3,3,s,2,1,0,0,0,990,50
62,63,MemResp,4,63,62,62,0,OF,2,2,12,12,12,10,13,5,4,3,4,l,1,0,0,1,0,781,50
63,64,MemResp,4,64,63,63,0,OM,1,2,11,12,12,10,13,5,4,4,4,l,1,0,0,1,0,777,50
64,65,MemResp,4,65,64,64,0,OM,1,2,3,12,12,11,13,5,4,4,4,l,2,0,0,0,1,671,50
65,66,MemResp,4,66,65,65,0,YM,1,1,1,13,12,11,13,5,4,4,4,l,2,0,0,0,1,1335,50
66,67,MemResp,4,67,66,66,0,OF,2,2,12,13,12,11,13,5,4,4,5,a,1,0,1,0,0,818,50
67,68,MemResp,4,68,67,67,0,YF,2,1,2,13,13,11,13,5,4,4,5,s,2,1,0,0,0,938,50
68,69,MemResp,4,69,68,68,0,YF,2,1,2,13,14,11,13,5,4,4,5,a,2,1,0,0,0,782,50
69,70,MemResp,4,70,69,69,0,OM,1,2,3,13,14,12,13,5,4,4,5,s,2,1,0,0,0,923,50
70,71,MemResp,4,71,70,70,0,YF,2,1,10,13,14,12,13,5,5,4,5,s,1,0,1,0,0,553,50
71,72,MemResp,4,72,71,71,0,OF,2,2,4,13,14,12,14,5,5,4,5,s,2,1,0,0,0,641,50
72,73,MemResp,4,73,72,72,0,OM,1,2,3,13,14,13,14,5,5,4,5,a,2,1,0,0,0,883,50
73,74,MemResp,4,74,73,73,0,OM,1,2,11,13,14,13,14,5,5,5,5,s,1,0,1,0,0,834,50
74,75,MemResp,4,75,74,74,0,YM,1,1,1,14,14,13,14,5,5,5,5,l,2,0,0,0,1,525,50
75,76,MemResp,4,76,75,75,0,YF,2,1,2,14,15,13,14,5,5,5,5,s,2,1,0,0,0,940,50
76,77,MemResp,4,77,76,76,0,OF,2,2,4,14,15,13,15,5,5,5,5,a,2,1,0,0,0,802,50
77,78,MemResp,4,78,77,77,0,OM,1,2,3,14,15,14,15,5,5,5,5,a,2,1,0,0,0,875,50
78,79,MemResp,4,79,78,78,0,YM,1,1,1,15,15,14,15,5,5,5,5,a,2,1,0,0,0,1053,50
79,80,MemResp,4,80,79,79,0,OM,1,2,3,15,15,15,15,5,5,5,5,s,2,1,0,0,0,860,50
80,81,MemResp,4,81,0,80,1,YM,1,1,1,16,15,15,15,5,5,5,5,s,2,1,0,0,0,686,50
81,82,MemResp,4,82,1,81,1,YM,1,1,1,17,15,15,15,5,5,5,5,s,2,1,0,0,0,742,50
82,83,MemResp,4,83,2,82,1,OM,1,2,11,17,15,15,15,5,5,6,5,k,1,0,0,1,0,674,50
83,84,MemResp,4,84,3,83,1,OM,1,2,3,17,15,16,15,5,5,6,5,l,2,0,0,0,1,484,50
84,85,MemResp,4,85,4,84,1,YM,1,1,1,18,15,16,15,5,5,6,5,l,2,0,0,0,1,832,50
85,86,MemResp,4,86,5,85,1,OF,2,2,4,18,15,16,16,5,5,6,5,l,2,0,0,0,1,913,50
86,87,MemResp,4,87,6,86,1,YF,2,1,2,18,16,16,16,5,5,6,5,l,2,0,0,0,1,1022,50
87,88,MemResp,4,88,7,87,1,OF,2,2,4,18,16,16,17,5,5,6,5,s,2,1,0,0,0,669,50
88,89,MemResp,4,89,8,88,1,YF,2,1,2,18,17,16,17,5,5,6,5,s,2,1,0,0,0,898,50
89,90,MemResp,4,90,9,89,1,OM,1,2,3,18,17,17,17,5,5,6,5,s,2,1,0,0,0,996,50
90,91,MemResp,4,91,10,90,1,YF,2,1,2,18,18,17,17,5,5,6,5,s,2,1,0,0,0,849,50
91,92,MemResp,4,92,11,91,1,YF,2,1,10,18,18,17,17,5,6,6,5,s,1,0,1,0,0,673,50
92,93,MemResp,4,93,12,92,1,OM,1,2,3,18,18,18,17,5,6,6,5,a,2,1,0,0,0,482,50
93,94,MemResp,4,94,13,93,1,OM,1,2,11,18,18,18,17,5,6,7,5,s,1,0,1,0,0,308,50
94,95,MemResp,4,95,14,94,1,OF,2,2,12,18,18,18,17,5,6,7,6,s,1,0,1,0,0,531,50
95,96,MemResp,4,96,15,95,1,YF,2,1,2,18,19,18,17,5,6,7,6,s,2,1,0,0,0,436,50
96,97,MemResp,4,97,16,96,1,OF,2,2,4,18,19,18,18,5,6,7,6,l,2,0,0,0,1,680,50
97,98,MemResp,4,98,17,97,1,YF,2,1,2,18,20,18,18,5,6,7,6,l,2,0,0,0,1,564,50
98,99,MemResp,4,99,18,98,1,OM,1,2,11,18,20,18,18,5,6,8,6,l,1,0,0,1,0,481,50
99,100,MemResp,4,100,19,99,1,OF,2,2,4,18,20,18,19,5,6,8,6,s,2,1,0,0,0,919,50
100,101,MemResp,4,101,20,100,1,OM,1,2,3,18,20,19,19,5,6,8,6,a,2,1,0,0,0,876,50
101,102,MemResp,4,102,21,101,1,YF,2,1,2,18,21,19,19,5,6,8,6,s,2,1,0,0,0,588,50
102,103,MemResp,4,103,22,102,1,YF,2,1,10,18,21,19,19,5,7,8,6,l,1,0,0,1,0,484,50
103,104,MemResp,4,104,23,103,1,YF,2,1,2,18,22,19,19,5,7,8,6,l,2,0,0,0,1,559,50
104,105,MemResp,4,105,24,104,1,YM,1,1,1,19,22,19,19,5,7,8,6,l,2,0,0,0,1,977,50
