,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,YMNCounter,YFNCounter,OMNCounter,OFNCounter,Action,Category,StimSequence,ResponseMatrix,PressCorrect,keyPressed,Accuracy,RT,FeedbackType,ACCCount,subject
117,117,Resp,4,118,117,117,0,30,30,30,28,2,OFN,3,4,m,m,1,1002,1,106,2
118,118,Resp,4,119,118,118,0,30,30,30,29,2,OFN,3,4,m,m,1,742,1,107,2
119,119,Resp,4,120,119,119,0,30,30,30,30,2,OFN,3,4,m,m,1,645,1,108,2
0,0,Resp,3,1,0,0,0,0,1,0,0,1,YFN,1,1,v,v,1,457,1,1,3
1,1,Resp,3,2,1,1,0,0,1,0,1,3,OFN,3,3,n,b,0,956,2,1,3
2,2,Resp,3,3,2,2,0,0,2,0,1,1,YFN,1,1,v,v,1,861,1,2,3
3,3,Resp,3,4,3,3,0,0,2,0,2,3,OFN,3,3,n,n,1,901,1,3,3
4,4,Resp,3,5,4,4,0,0,2,0,3,3,OFN,3,3,n,v,0,1131,2,3,3
5,5,Resp,3,6,5,5,0,0,2,1,3,4,OMN,4,2,b,b,1,920,1,4,3
6,6,Resp,3,7,6,6,0,1,2,1,3,2,YMN,2,4,m,m,1,908,1,5,3
7,7,Resp,3,8,7,7,0,2,2,1,3,2,YMN,2,4,m,m,1,859,1,6,3
8,8,Resp,3,9,8,8,0,2,2,1,4,3,OFN,3,3,n,n,1,790,1,7,3
9,9,Resp,3,10,9,9,0,2,2,2,4,4,OMN,4,2,b,b,1,1209,1,8,3
10,10,Resp,3,11,10,10,0,2,2,3,4,4,OMN,4,2,b,b,1,748,1,9,3
11,11,Resp,3,12,11,11,0,2,2,3,5,3,OFN,3,3,n,n,1,1001,1,10,3
12,12,Resp,3,13,12,12,0,2,3,3,5,1,YFN,1,1,v,v,1,1099,1,11,3
13,13,Resp,3,14,13,13,0,2,3,3,6,3,OFN,3,3,n,n,1,1194,1,12,3
14,14,Resp,3,15,14,14,0,2,3,4,6,4,OMN,4,2,b,b,1,776,1,13,3
15,15,Resp,3,16,15,15,0,2,4,4,6,1,YFN,1,1,v,v,1,735,1,14,3
16,16,Resp,3,17,16,16,0,2,5,4,6,1,YFN,1,1,v,v,1,1003,1,15,3
17,17,Resp,3,18,17,17,0,3,5,4,6,2,YMN,2,4,m,m,1,743,1,16,3
18,18,Resp,3,19,18,18,0,4,5,4,6,2,YMN,2,4,m,m,1,894,1,17,3
19,19,Resp,3,20,19,19,0,4,5,4,7,3,OFN,3,3,n,b,0,1186,2,17,3
20,20,Resp,3,21,20,20,0,4,6,4,7,1,YFN,1,1,v,v,1,666,1,18,3
21,21,Resp,3,22,21,21,0,4,7,4,7,1,YFN,1,1,v,v,1,795,1,19,3
22,22,Resp,3,23,22,22,0,5,7,4,7,2,YMN,2,4,m,m,1,685,1,20,3
23,23,Resp,3,24,23,23,0,6,7,4,7,2,YMN,2,4,m,m,1,612,1,21,3
24,24,Resp,3,25,24,24,0,6,8,4,7,1,YFN,1,1,v,v,1,711,1,22,3
