,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,YMNCounter,YFNCounter,OMNCounter,OFNCounter,Action,Category,StimSequence,ResponseMatrix,PressCorrect,keyPressed,Accuracy,RT,FeedbackType,ACCCount,subject
89,89,Resp,2,90,89,89,0,19,24,21,26,1,YFN,1,1,v,v,1,988,1,79,34
90,90,Resp,2,91,90,90,0,20,24,21,26,3,YMN,2,3,n,n,1,823,1,80,34
91,91,Resp,2,92,91,91,0,21,24,21,26,3,YMN,2,3,n,n,1,822,1,81,34
92,92,Resp,2,93,92,92,0,21,24,21,27,2,OFN,3,2,b,b,1,799,1,82,34
93,93,Resp,2,94,93,93,0,21,24,22,27,4,OMN,4,4,m,m,1,651,1,83,34
94,94,Resp,2,95,94,94,0,21,24,22,28,2,OFN,3,2,b,b,1,783,1,84,34
95,95,Resp,2,96,95,95,0,21,24,23,28,4,OMN,4,4,m,m,1,839,1,85,34
96,96,Resp,2,97,96,96,0,21,24,24,28,4,OMN,4,4,m,m,1,674,1,86,34
97,97,Resp,2,98,97,97,0,21,24,25,28,4,OMN,4,4,m,m,1,732,1,87,34
98,98,Resp,2,99,98,98,0,21,25,25,28,1,YFN,1,1,v,v,1,672,1,88,34
99,99,Resp,2,100,99,99,0,21,25,26,28,4,OMN,4,4,m,m,1,729,1,89,34
100,100,Resp,2,101,100,100,0,21,26,26,28,1,YFN,1,1,v,b,0,696,2,89,34
101,101,Resp,2,102,101,101,0,21,27,26,28,1,YFN,1,1,v,v,1,714,1,90,34
102,102,Resp,2,103,102,102,0,21,27,27,28,4,OMN,4,4,m,m,1,741,1,91,34
103,103,Resp,2,104,103,103,0,22,27,27,28,3,YMN,2,3,n,n,1,839,1,92,34
104,104,Resp,2,105,104,104,0,23,27,27,28,3,YMN,2,3,n,n,1,1028,1,93,34
105,105,Resp,2,106,105,105,0,24,27,27,28,3,YMN,2,3,n,n,1,763,1,94,34
106,106,Resp,2,107,106,106,0,24,27,27,29,2,OFN,3,2,b,b,1,814,1,95,34
107,107,Resp,2,108,107,107,0,25,27,27,29,3,YMN,2,3,n,n,1,756,1,96,34
108,108,Resp,2,109,108,108,0,25,28,27,29,1,YFN,1,1,v,v,1,755,1,97,34
109,109,Resp,2,110,109,109,0,26,28,27,29,3,YMN,2,3,n,n,1,916,1,98,34
110,110,Resp,2,111,110,110,0,26,29,27,29,1,YFN,1,1,v,v,1,1248,1,99,34
111,111,Resp,2,112,111,111,0,27,29,27,29,3,YMN,2,3,n,n,1,745,1,100,34
112,112,Resp,2,113,112,112,0,28,29,27,29,3,YMN,2,3,n,n,1,601,1,101,34
113,113,Resp,2,114,113,113,0,28,30,27,29,1,YFN,1,1,v,v,1,753,1,102,34
114,114,Resp,2,115,114,114,0,29,30,27,29,3,YMN,2,3,n,n,1,816,1,103,34
115,115,Resp,2,116,115,115,0,30,30,27,29,3,YMN,2,3,n,n,1,997,1,104,34
116,116,Resp,2,117,116,116,0,30,30,27,30,2,OFN,3,2,b,b,1,722,1,105,34
117,117,RespITI,2,118,117,117,0,30,30,28,30,4,OMN,4,4,m,,,0,722,3,34
118,118,RespITI,2,119,118,118,0,30,30,29,30,4,OMN,4,4,m,,,0,722,3,34
119,119,Resp,2,120,119,119,0,30,30,30,30,4,OMN,4,4,m,m,1,569,1,106,34
0,0,RespITI,1,1,0,0,0,1,0,0,0,2,YMN,2,2,b,0,0,,3,0,39
1,1,Resp,1,2,1,1,0,1,0,1,0,4,OMN,4,4,m,b,0,495,2,0,39
2,2,Resp,1,3,2,2,0,1,0,1,1,3,OFN,3,3,n,v,0,731,2,0,39
3,3,Resp,1,4,3,3,0,1,1,1,1,1,YFN,1,1,v,n,0,654,2,0,39
4,4,Resp,1,5,4,4,0,1,1,1,2,3,OFN,3,3,n,n,1,394,1,1,39
5,5,Resp,1,6,5,5,0,1,1,2,2,4,OMN,4,4,m,m,1,629,1,2,39
6,6,Resp,1,7,6,6,0,1,1,2,3,3,OFN,3,3,n,n,1,723,1,3,39
7,7,Resp,1,8,7,7,0,2,1,2,3,2,YMN,2,2,b,v,0,1019,2,3,39
8,8,Resp,1,9,8,8,0,3,1,2,3,2,YMN,2,2,b,b,1,713,1,4,39
9,9,Resp,1,10,9,9,0,3,2,2,3,1,YFN,1,1,v,m,0,966,2,4,39
10,10,Resp,1,11,10,10,0,3,2,2,4,3,OFN,3,3,n,m,0,980,2,4,39
11,11,Resp,1,12,11,11,0,3,2,2,5,3,OFN,3,3,n,n,1,1071,1,5,39
12,12,Resp,1,13,12,12,0,3,3,2,5,1,YFN,1,1,v,v,1,975,1,6,39
13,13,Resp,1,14,13,13,0,3,4,2,5,1,YFN,1,1,v,v,1,652,1,7,39
14,14,Resp,1,15,14,14,0,3,5,2,5,1,YFN,1,1,v,v,1,609,1,8,39
15,15,Resp,1,16,15,15,0,3,5,2,6,3,OFN,3,3,n,n,1,1036,1,9,39
