,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,YMNCounter,YFNCounter,OMNCounter,OFNCounter,Action,Category,StimSequence,ResponseMatrix,PressCorrect,keyPressed,Accuracy,RT,FeedbackType,ACCCount,subject
74,74,Resp,3,75,74,74,0,21,18,18,18,4,OMN,4,2,b,b,1,677,1,57,21
75,75,Resp,3,76,75,75,0,21,19,18,18,1,YFN,1,1,v,v,1,606,1,58,21
76,76,Resp,3,77,76,76,0,21,20,18,18,1,YFN,1,1,v,v,1,563,1,59,21
77,77,Resp,3,78,77,77,0,21,20,19,18,4,OMN,4,2,b,b,1,714,1,60,21
78,78,Resp,3,79,78,78,0,21,20,19,19,3,OFN,3,3,n,n,1,658,1,61,21
79,79,Resp,3,80,79,79,0,21,20,19,20,3,OFN,3,3,n,n,1,766,1,62,21
80,80,Resp,3,81,80,80,0,21,21,19,20,1,YFN,1,1,v,v,1,657,1,63,21
81,81,Resp,3,82,81,81,0,21,21,19,21,3,OFN,3,3,n,b,0,798,2,63,21
82,82,Resp,3,83,82,82,0,21,21,19,22,3,OFN,3,3,n,n,1,815,1,64,21
83,83,Resp,3,84,83,83,0,21,21,20,22,4,OMN,4,2,b,b,1,674,1,65,21
84,84,Resp,3,85,84,84,0,21,21,21,22,4,OMN,4,2,b,b,1,561,1,66,21
85,85,Resp,3,86,85,85,0,21,22,21,22,1,YFN,1,1,v,v,1,738,1,67,21
86,86,Resp,3,87,86,86,0,21,22,21,23,3,OFN,3,3,n,n,1,751,1,68,21
87,87,Resp,3,88,87,87,0,21,23,21,23,1,YFN,1,1,v,v,1,985,1,69,21
88,88,Resp,3,89,88,88,0,21,24,21,23,1,YFN,1,1,v,v,1,768,1,70,21
89,89,Resp,3,90,89,89,0,21,24,22,23,4,OMN,4,2,b,b,1,718,1,71,21
90,90,Resp,3,91,90,90,0,21,24,22,24,3,OFN,3,3,n,n,1,640,1,72,21
91,91,Resp,3,92,91,91,0,22,24,22,24,2,YMN,2,4,m,m,1,736,1,73,21
92,92,Resp,3,93,92,92,0,22,24,22,25,3,OFN,3,3,n,n,1,765,1,74,21
93,93,Resp,3,94,93,93,0,22,24,23,25,4,OMN,4,2,b,b,1,827,1,75,21
94,94,Resp,3,95,94,94,0,22,25,23,25,1,YFN,1,1,v,v,1,712,1,76,21
95,95,Resp,3,96,95,95,0,23,25,23,25,2,YMN,2,4,m,m,1,1048,1,77,21
96,96,Resp,3,97,96,96,0,23,25,23,26,3,OFN,3,3,n,n,1,800,1,78,21
97,97,Resp,3,98,97,97,0,23,25,24,26,4,OMN,4,2,b,b,1,676,1,79,21
98,98,Resp,3,99,98,98,0,24,25,24,26,2,YMN,2,4,m,m,1,814,1,80,21
99,99,Resp,3,100,99,99,0,24,25,25,26,4,OMN,4,2,b,b,1,796,1,81,21
100,100,Resp,3,101,100,100,0,24,26,25,26,1,YFN,1,1,v,m,0,1249,2,81,21
101,101,Resp,3,102,101,101,0,24,27,25,26,1,YFN,1,1,v,v,1,657,1,82,21
102,102,Resp,3,103,102,102,0,24,27,26,26,4,OMN,4,2,b,b,1,766,1,83,21
103,103,Resp,3,104,103,103,0,24,27,27,26,4,OMN,4,2,b,b,1,922,1,84,21
104,104,Resp,3,105,104,104,0,24,27,27,27,3,OFN,3,3,n,n,1,844,1,85,21
105,105,Resp,3,106,105,105,0,24,28,27,27,1,YFN,1,1,v,v,1,835,1,86,21
106,106,Resp,3,107,106,106,0,25,28,27,27,2,YMN,2,4,m,m,1,844,1,87,21
107,107,Resp,3,108,107,107,0,25,28,28,27,4,OMN,4,2,b,b,1,685,1,88,21
108,108,Resp,3,109,108,108,0,25,28,28,28,3,OFN,3,3,n,n,1,828,1,89,21
109,109,Resp,3,110,109,109,0,25,29,28,28,1,YFN,1,1,v,v,1,531,1,90,21
110,110,Resp,3,111,110,110,0,26,29,28,28,2,YMN,2,4,m,m,1,563,1,91,21
111,111,Resp,3,112,111,111,0,26,29,29,28,4,OMN,4,2,b,b,1,661,1,92,21
112,112,Resp,3,113,112,112,0,27,29,29,28,2,YMN,2,4,m,m,1,729,1,93,21
113,113,Resp,3,114,113,113,0,28,29,29,28,2,YMN,2,4,m,m,1,767,1,94,21
114,114,Resp,3,115,114,114,0,28,29,29,29,3,OFN,3,3,n,n,1,806,1,95,21
115,115,Resp,3,116,115,115,0,29,29,29,29,2,YMN,2,4,m,m,1,689,1,96,21
116,116,Resp,3,117,116,116,0,29,29,29,30,3,OFN,3,3,n,n,1,674,1,97,21
117,117,Resp,3,118,117,117,0,29,29,30,30,4,OMN,4,2,b,b,1,829,1,98,21
118,118,Resp,3,119,118,118,0,30,29,30,30,2,YMN,2,4,m,m,1,687,1,99,21
119,119,Resp,3,120,119,119,0,30,30,30,30,1,YFN,1,1,v,v,1,750,1,100,21
0,0,RespITI,3,1,0,0,0,0,0,0,1,3,OFN,3,3,n,0,0,,3,0,23
1,1,Resp,3,2,1,1,0,1,0,0,1,2,YMN,2,4,m,v,0,746,2,0,23
2,2,Resp,3,3,2,2,0,1,0,1,1,4,OMN,4,2,b,n,0,978,2,0,23
3,3,RespITI,3,4,3,3,0,2,0,1,1,2,YMN,2,4,m,0,0,978,3,0,23
4,4,Resp,3,5,4,4,0,2,0,2,1,4,OMN,4,2,b,n,0,974,2,0,23
5,5,RespITI,3,6,5,5,0,2,0,3,1,4,OMN,4,2,b,0,0,974,3,0,23
6,6,RespITI,3,7,6,6,0,3,0,3,1,2,YMN,2,4,m,0,0,974,3,0,23
